t_start,t_end,n_events,n_above_mc,b,b_drift_per_day,b_drift_ok,benioff_total_log10,benioff_curv,target_M,target_time,window_kind
2004-08-29 17:15:24.250000+00:00,2004-09-28 17:15:24.250000+00:00,148,148,0.6831287418607851,0.0019332440821259976,True,5.988987807568225,1.404287505266482e-07,5.97,2004-09-28 17:15:24.250000+00:00,precursor
2004-08-29 17:24:15.280000+00:00,2004-09-28 17:24:15.280000+00:00,157,157,0.5981597829529831,-0.0056998557007925405,True,6.966532273104642,1.3954869455577733e-06,4.71,2004-09-28 17:24:15.280000+00:00,precursor
2004-08-30 17:10:04.030000+00:00,2004-09-29 17:10:04.030000+00:00,680,680,0.6510156905279878,-0.0001311141742902028,True,7.143653880702737,7.4710325552626215e-06,5.0,2004-09-29 17:10:04.030000+00:00,precursor
2004-08-31 18:54:28.840000+00:00,2004-09-30 18:54:28.840000+00:00,831,831,0.6873868435358022,0.0013743562459597077,True,7.203361041939282,8.382879239489782e-06,4.88,2004-09-30 18:54:28.840000+00:00,precursor
2019-04-14 15:21:42.530050944+00:00,2019-05-14 15:21:42.530050944+00:00,36,36,0.5518743857577502,0.021605627971804604,True,5.515229828264238,1.9968150900159977e-08,,,null
2010-12-08 06:03:59.093020608+00:00,2011-01-07 06:03:59.093020608+00:00,25,25,,,False,5.034569180406915,-6.038526487842181e-09,,,null
2021-05-23 22:14:39.271624960+00:00,2021-06-22 22:14:39.271624960+00:00,29,29,,,False,5.025178873575499,-2.7561003896864873e-09,,,null
2017-05-17 15:32:42.296701120+00:00,2017-06-16 15:32:42.296701120+00:00,28,28,,,False,5.009777469818435,-1.4187790307788404e-08,,,null
2002-05-07 06:52:39.027943056+00:00,2002-06-06 06:52:39.027943056+00:00,45,45,0.6874165207754599,-0.01974152042776681,True,5.447216733977007,3.589530833554178e-08,,,null
2024-04-22 21:53:52.173584640+00:00,2024-05-22 21:53:52.173584640+00:00,19,19,,,False,4.93626739666893,-1.0243160788695203e-08,,,null
2018-12-19 00:06:19.829539840+00:00,2019-01-18 00:06:19.829539840+00:00,37,37,0.598246307908426,-0.0074391358134067685,True,5.382461205328316,1.6571968857717915e-08,,,null
2019-08-02 19:57:43.611432960+00:00,2019-09-01 19:57:43.611432960+00:00,30,30,0.629412292613408,-0.0022289578054120593,True,5.272623070008716,4.5966483307326476e-09,,,null
2003-03-12 03:00:08.015847168+00:00,2003-04-11 03:00:08.015847168+00:00,60,60,0.7244278263607196,-0.010531992671499221,True,5.575057846386581,5.8546862013452985e-08,,,null
2011-03-22 23:27:11.701895232+00:00,2011-04-21 23:27:11.701895232+00:00,26,26,,,False,5.079160864398482,3.72799791229565e-09,,,null
2009-03-28 16:25:14.618426944+00:00,2009-04-27 16:25:14.618426944+00:00,49,49,0.8191081452370805,-0.01039535212663833,True,5.38094167404212,1.3645720358150022e-08,,,null
2023-02-03 06:48:58.175112448+00:00,2023-03-05 06:48:58.175112448+00:00,38,38,0.5981584020414488,,False,5.470711591527499,-1.5358478962001963e-07,,,null
2016-01-16 17:48:57.167512448+00:00,2016-02-15 17:48:57.167512448+00:00,27,27,,,False,5.077259683627756,1.3563530012038165e-08,,,null
2020-07-01 19:07:48.393004160+00:00,2020-07-31 19:07:48.393004160+00:00,22,22,,,False,5.446699753154972,8.289735995589448e-08,,,null
2011-01-18 12:44:06.076427584+00:00,2011-02-17 12:44:06.076427584+00:00,46,46,0.7743234948662634,-0.0019457453586789813,True,5.359952425024077,1.6393832812800382e-08,,,null
2005-08-30 05:12:26.084759328+00:00,2005-09-29 05:12:26.084759328+00:00,108,108,0.8045249407470185,0.026787157720040988,True,5.713671147667379,-7.805861284371834e-08,,,null
2013-10-26 05:49:59.728433600+00:00,2013-11-25 05:49:59.728433600+00:00,38,38,0.7101200650741637,0.0010835739507204598,True,5.331451790418589,1.0662650865592245e-09,,,null
2001-08-03 23:50:22.995137456+00:00,2001-09-02 23:50:22.995137456+00:00,52,52,0.5964953264386975,-0.007491677910527598,True,5.68069668330351,1.0731090027138889e-07,,,null
2020-08-15 02:42:17.595079040+00:00,2020-09-14 02:42:17.595079040+00:00,30,30,0.4437613915905161,0.0060276006662320905,True,5.531188661040834,-3.533259538346549e-08,,,null
2015-09-27 17:01:12.686930496+00:00,2015-10-27 17:01:12.686930496+00:00,35,35,0.7581200432226339,-0.028752014772658943,True,5.222797574373511,5.9883784512699095e-09,,,null
2018-11-21 05:31:02.809662464+00:00,2018-12-21 05:31:02.809662464+00:00,39,39,0.7143603877784404,0.02856449978450368,True,5.655224348307948,-1.5901404963739474e-07,,,null
2008-10-31 14:23:33.509362304+00:00,2008-11-30 14:23:33.509362304+00:00,66,66,0.6014149350737433,0.003184753079892212,True,5.812999855918643,-3.8016740123599536e-08,,,null
2024-03-09 02:21:39.213202432+00:00,2024-04-08 02:21:39.213202432+00:00,20,20,,,False,4.952702681814505,-7.746847025987637e-09,,,null
2022-04-03 02:33:32.987424768+00:00,2022-05-03 02:33:32.987424768+00:00,20,20,,,False,5.247901055199534,7.529830856410286e-09,,,null
2019-05-24 22:22:26.363880704+00:00,2019-06-23 22:22:26.363880704+00:00,31,31,0.9514578755477595,-0.01879885843061947,True,5.047866476123936,-1.696147457476276e-09,,,null
2011-08-18 15:14:36.521929088+00:00,2011-09-17 15:14:36.521929088+00:00,24,24,,,False,4.876555744033076,5.149341288035307e-10,,,null
2001-02-02 20:38:01.967297932+00:00,2001-03-04 20:38:01.967297932+00:00,46,46,0.931354133685295,-0.05213475345488993,True,5.23656660739895,-1.578765219002016e-08,,,null
2003-11-05 08:08:57.817396560+00:00,2003-12-05 08:08:57.817396560+00:00,41,41,0.8660541711105703,0.004451672487037263,True,5.1953669183266245,-7.87845603512367e-09,,,null
2017-01-07 08:04:23.589383872+00:00,2017-02-06 08:04:23.589383872+00:00,37,37,0.7583244846824125,,False,5.1954837007270775,4.788778433783773e-08,,,null
2018-07-22 23:02:13.353563904+00:00,2018-08-21 23:02:13.353563904+00:00,35,35,0.7156453327030984,0.0035070632323952458,True,5.3741248518123514,2.617389913488956e-08,,,null
2024-02-09 01:59:47.685266560+00:00,2024-03-10 01:59:47.685266560+00:00,18,18,,,False,5.236611978371097,-3.326312873356431e-08,,,null
2008-02-13 09:48:25.919323520+00:00,2008-03-14 09:48:25.919323520+00:00,35,35,0.8283545976356302,-0.01441978697942901,True,5.232778490149881,-1.3457924157667363e-09,,,null
2009-03-25 14:31:39.523068096+00:00,2009-04-24 14:31:39.523068096+00:00,47,47,0.9124649373917227,-0.014141259742749605,True,5.316745621836637,7.1061914166512606e-09,,,null
2011-09-13 10:24:07.962159296+00:00,2011-10-13 10:24:07.962159296+00:00,27,27,,,False,4.98945942437738,-1.3622879816218122e-08,,,null
2003-03-28 13:51:54.222958368+00:00,2003-04-27 13:51:54.222958368+00:00,55,55,0.7497236818794365,0.022503840467257483,True,5.533433004235386,-6.49254745080457e-08,,,null
2011-11-08 09:26:55.193868544+00:00,2011-12-08 09:26:55.193868544+00:00,31,31,0.6847980131739985,,False,5.268905965338766,-9.819532310463935e-09,,,null
2005-08-27 05:16:04.688524832+00:00,2005-09-26 05:16:04.688524832+00:00,113,113,0.772230943431431,0.019149475955951425,True,5.745192647095276,-8.467995444900791e-08,,,null
2016-09-08 21:23:11.850056512+00:00,2016-10-08 21:23:11.850056512+00:00,51,51,0.6274509511916672,0.002078128011435127,True,5.639842219685977,-1.8250997977951502e-10,,,null
2010-11-22 12:58:18.707774656+00:00,2010-12-22 12:58:18.707774656+00:00,29,29,,,False,5.184260935761957,-6.0669893133136e-09,,,null
2020-09-30 01:02:25.434431488+00:00,2020-10-30 01:02:25.434431488+00:00,19,19,,,False,5.109871468905514,9.998899499561578e-09,,,null
2017-06-13 00:18:12.187479040+00:00,2017-07-13 00:18:12.187479040+00:00,41,41,0.6993744602526837,-0.011016889557178305,True,5.317280381283591,4.127137082837682e-08,,,null
2007-10-13 22:14:56.088894112+00:00,2007-11-12 22:14:56.088894112+00:00,43,43,0.9388970699768643,0.02145774750311739,True,5.2405289662006815,3.325701107639364e-09,,,null
2020-09-26 05:39:27.280635904+00:00,2020-10-26 05:39:27.280635904+00:00,18,18,,,False,5.085772531822225,2.4144893930214545e-08,,,null
2020-01-20 00:17:45.747276288+00:00,2020-02-19 00:17:45.747276288+00:00,18,18,,,False,5.1819140062700555,1.4694008313460943e-08,,,null
2009-08-27 11:37:35.556232384+00:00,2009-09-26 11:37:35.556232384+00:00,38,38,0.7433869510055662,0.01703077626579935,True,5.572128112076955,-1.1907542560743093e-07,,,null
2007-03-09 03:55:14.078095168+00:00,2007-04-08 03:55:14.078095168+00:00,59,59,0.6771504871113067,-0.0034547100599855093,True,5.611996472081206,-1.4933807326381278e-08,,,null
2017-01-02 07:11:33.797571712+00:00,2017-02-01 07:11:33.797571712+00:00,42,42,0.8325133838400995,-0.02166082961218828,True,5.216538653453695,3.335062564646987e-08,,,null
2003-06-26 01:04:41.575199872+00:00,2003-07-26 01:04:41.575199872+00:00,35,35,0.7807039993124711,-0.019058952858347654,True,5.280269553688752,1.2232556842239987e-08,,,null
2004-12-24 11:52:02.560134912+00:00,2005-01-23 11:52:02.560134912+00:00,248,248,1.0462894065669943,-0.004813518335332901,True,5.9293633343257675,-2.6355025211197694e-08,,,null
2000-03-08 05:20:18.722803580+00:00,2000-04-07 05:20:18.722803580+00:00,21,21,,,False,4.919755618101568,-1.6024102726201657e-08,,,null
2019-08-10 15:48:46.953295744+00:00,2019-09-09 15:48:46.953295744+00:00,28,28,,,False,5.211651707291369,1.6774387764097363e-08,,,null
2016-07-25 17:22:22.436028352+00:00,2016-08-24 17:22:22.436028352+00:00,17,17,,,False,4.852914328731442,-2.7144714180474023e-09,,,null
2017-07-27 14:35:14.467259520+00:00,2017-08-26 14:35:14.467259520+00:00,34,34,0.8895188183560578,-0.07615353390532895,True,5.075290904610012,-1.2406790546421837e-09,,,null
2019-06-15 06:40:08.484920576+00:00,2019-07-15 06:40:08.484920576+00:00,22,22,,,False,5.07569750548133,-1.95185303803211e-08,,,null
2011-06-08 14:28:49.495985536+00:00,2011-07-08 14:28:49.495985536+00:00,31,31,0.7454667186600669,0.020061719448350356,True,5.181385999942017,-2.2724758223807402e-08,,,null
2014-03-04 01:46:35.633454848+00:00,2014-04-03 01:46:35.633454848+00:00,29,29,,,False,5.369563448781875,1.2076817348367255e-08,,,null
2003-06-26 10:48:02.748424288+00:00,2003-07-26 10:48:02.748424288+00:00,34,34,0.7722809824639413,-0.019632100427315072,True,5.274834177452129,1.1111960797484992e-08,,,null
2002-11-08 12:10:36.281133840+00:00,2002-12-08 12:10:36.281133840+00:00,66,66,0.882494944754145,0.0022250986339905263,True,5.757913451711588,-6.439313155796977e-08,,,null
