t_start,t_end,n_events,n_above_mc,b,b_drift_per_day,b_drift_ok,benioff_total_log10,benioff_curv,target_M,target_time,window_kind
2001-07-11 20:19:27.060000+00:00,2001-08-10 20:19:27.060000+00:00,240,130,1.0244652993544314,0.00299845130865175,True,7.144959764486209,-4.42539341414866e-06,5.2,2001-08-10 20:19:27.060000+00:00,precursor
2001-11-28 21:14:01.950000+00:00,2001-12-28 21:14:01.950000+00:00,104,51,0.946134924265949,0.0016221120248871895,True,6.775292179588777,-8.984467643593664e-07,4.6,2001-12-28 21:14:01.950000+00:00,precursor
2002-09-29 14:16:54.080000+00:00,2002-10-29 14:16:54.080000+00:00,65,35,0.9681724118862315,-0.010581463484528415,True,6.479756480372635,4.414479884082428e-08,4.77,2002-10-29 14:16:54.080000+00:00,precursor
2005-09-16 21:11:35.010000+00:00,2005-10-16 21:11:35.010000+00:00,98,60,0.8691684094127795,0.03257610236340493,True,6.819537109170627,-9.275249833788374e-07,4.99,2005-10-16 21:11:35.010000+00:00,precursor
2006-02-24 01:56:37.600000+00:00,2006-03-26 01:56:37.600000+00:00,104,62,1.0448683693442615,-0.0001576934581759022,True,6.689771774217145,-2.0865523820117551e-07,4.52,2006-03-26 01:56:37.600000+00:00,precursor
2009-04-18 03:39:36.340000+00:00,2009-05-18 03:39:36.340000+00:00,73,33,0.8592157016071538,-0.00986073046095227,True,6.601453859014041,-2.2666041543012668e-07,4.7,2009-05-18 03:39:36.340000+00:00,precursor
2010-06-07 23:53:33.480000+00:00,2010-07-07 23:53:33.480000+00:00,417,239,0.87481147218607,0.012575608007317532,True,7.45941475680047,-7.538511665601117e-06,5.42,2010-07-07 23:53:33.480000+00:00,precursor
2010-10-05 19:39:59.550000+00:00,2010-11-04 19:39:59.550000+00:00,122,69,0.9414489240127046,0.004538466687482917,True,6.8198742751952,-6.978334436851243e-08,4.57,2010-11-04 19:39:59.550000+00:00,precursor
2012-01-14 21:07:02.770000+00:00,2012-02-13 21:07:02.770000+00:00,78,42,0.9796116133156055,0.011984894688651541,True,6.614622356270174,-2.5473771412470504e-07,5.6,2012-02-13 21:07:02.770000+00:00,precursor
2012-06-01 03:25:20.450000+00:00,2012-07-01 03:25:20.450000+00:00,88,42,1.0241644154933502,0.0064092197749200065,True,6.604092789503887,-2.35967509200352e-07,4.64,2012-07-01 03:25:20.450000+00:00,precursor
2013-01-14 00:10:14.393000+00:00,2013-02-13 00:10:14.393000+00:00,88,45,1.3459539728406584,0.013134801195174805,True,6.533275827486719,-3.147937855562452e-07,5.1,2013-02-13 00:10:14.393000+00:00,precursor
2013-09-11 23:05:37.330000+00:00,2013-10-11 23:05:37.330000+00:00,84,49,0.9208320905780766,0.01281651786561169,True,6.67276554496102,2.2070369213261136e-07,4.94,2013-10-11 23:05:37.330000+00:00,precursor
2013-12-13 20:24:46.740000+00:00,2014-01-12 20:24:46.740000+00:00,85,44,0.9116868894915588,0.008130572711246077,True,6.683266002189234,-3.358055431119699e-07,4.53,2014-01-12 20:24:46.740000+00:00,precursor
2014-06-05 16:59:34.090000+00:00,2014-07-05 16:59:34.090000+00:00,89,44,1.34759923862786,-0.030226789736513254,True,6.51582310658365,1.0698208555818276e-07,4.58,2014-07-05 16:59:34.090000+00:00,precursor
2015-04-22 18:47:42.980000+00:00,2015-05-22 18:47:42.980000+00:00,94,51,0.9103583467762386,-0.023432786560203544,True,6.689984712257184,-1.4763060542684738e-07,5.3,2015-05-22 18:47:42.980000+00:00,precursor
2016-05-11 08:04:38.700000+00:00,2016-06-10 08:04:38.700000+00:00,62,36,1.0022180351613519,-0.009271403677256505,True,6.484259516896378,2.0042693543590578e-08,5.19,2016-06-10 08:04:38.700000+00:00,precursor
2017-10-14 19:31:29.050000+00:00,2017-11-13 19:31:29.050000+00:00,78,37,1.0857362047581298,0.01731968245767449,True,6.5409262253720035,-1.3371817700228324e-07,4.58,2017-11-13 19:31:29.050000+00:00,precursor
2018-06-05 15:17:36.947000+00:00,2018-07-05 15:17:36.947000+00:00,57,29,,,False,6.343320296094974,-6.938033647671044e-08,4.5,2018-07-05 15:17:36.947000+00:00,precursor
2018-10-20 20:18:42.510000+00:00,2018-11-19 20:18:42.510000+00:00,70,42,0.9620447383932801,-0.021901163696034148,True,6.555236170028047,1.5608259843312697e-07,4.82,2018-11-19 20:18:42.510000+00:00,precursor
2019-08-11 04:25:55.631000+00:00,2019-09-10 04:25:55.631000+00:00,189,81,1.0243987488108162,0.002589163049746885,True,6.9403891952075325,-1.2221091012701063e-06,4.6,2019-09-10 04:25:55.631000+00:00,precursor
2019-12-26 03:03:34.920000+00:00,2020-01-25 03:03:34.920000+00:00,88,45,1.1509571075174525,0.02631079894149017,True,6.590028435691232,-2.7881062579738203e-07,4.62,2020-01-25 03:03:34.920000+00:00,precursor
2021-03-01 08:56:25.940000+00:00,2021-03-31 08:56:25.940000+00:00,89,46,1.3452893042120937,-0.021491499346116435,True,6.5754433833702075,4.224145848118405e-07,4.75,2021-03-31 08:56:25.940000+00:00,precursor
2022-06-15 01:19:07+00:00,2022-07-15 01:19:07+00:00,89,43,0.8649681668290786,0.0015055125865243726,True,6.6414079583469485,1.5847346221438976e-07,4.58,2022-07-15 01:19:07+00:00,precursor
2023-04-11 23:19:41.990000+00:00,2023-05-11 23:19:41.990000+00:00,93,64,0.8570720580267694,0.014561967790063246,True,6.806044321272106,6.27861928632782e-07,5.48,2023-05-11 23:19:41.990000+00:00,precursor
2024-06-29 20:00:52.590000+00:00,2024-07-29 20:00:52.590000+00:00,83,40,1.0810068000080946,0.03778942838716873,True,6.544744909314927,1.618720182310682e-08,4.87,2024-07-29 20:00:52.590000+00:00,precursor
2019-04-15 08:18:53.991163392+00:00,2019-05-15 08:18:53.991163392+00:00,107,63,0.8880412969784123,0.006906514697015252,True,6.791409197705351,6.354341906894651e-09,,,null_A
2017-05-18 06:41:14.898073088+00:00,2017-06-17 06:41:14.898073088+00:00,62,33,0.8776312249116544,,False,6.469564046858273,1.663035047044246e-07,,,null_A
2024-04-23 19:37:08.647616896+00:00,2024-05-23 19:37:08.647616896+00:00,122,71,0.8021568214133946,0.018687513712703104,True,6.942440222208498,2.1587268790344242e-06,,,null_A
2015-09-28 06:36:32.863393088+00:00,2015-10-28 06:36:32.863393088+00:00,94,45,1.1557215662712208,0.015484035663344418,True,6.589895041585972,1.1686680819838842e-07,,,null_A
2022-04-03 22:19:47.293337600+00:00,2022-05-03 22:19:47.293337600+00:00,87,38,1.0237711111863252,,False,6.56735364746281,1.6775720699648698e-07,,,null_A
2019-05-25 15:25:54.671346944+00:00,2019-06-24 15:25:54.671346944+00:00,103,51,0.8188176923129696,-0.022276169777711224,True,6.967339119469692,-7.83710469272847e-08,,,null_A
2001-02-02 20:19:25.845122384+00:00,2001-03-04 20:19:25.845122384+00:00,96,66,0.8896162571574989,0.010539585295663437,True,6.824674012429344,-7.973424615819806e-07,,,null_A
2017-06-13 15:30:51.375879872+00:00,2017-07-13 15:30:51.375879872+00:00,66,40,1.0670626090988988,0.020610579420117923,True,6.510001041098304,5.900712386319916e-08,,,null_A
2003-06-26 03:02:12.216414592+00:00,2003-07-26 03:02:12.216414592+00:00,62,27,,,False,6.480912253929242,6.708255373049156e-08,,,null_A
2017-07-28 05:54:50.747213632+00:00,2017-08-27 05:54:50.747213632+00:00,80,36,1.059972972780819,,False,6.52526667805074,1.3308915208766418e-07,,,null_A
2011-06-08 23:59:06.014423040+00:00,2011-07-08 23:59:06.014423040+00:00,90,48,0.9860991074435235,0.004782944916084764,True,6.612284903998796,1.1781938072964256e-07,,,null_A
2003-06-26 12:45:37.178533168+00:00,2003-07-26 12:45:37.178533168+00:00,61,26,,,False,6.438967702650209,7.104337341332582e-08,,,null_A
2019-01-23 19:44:11.431378304+00:00,2019-02-22 19:44:11.431378304+00:00,91,49,0.8374824719897416,-0.01211115851690091,True,6.754633504322665,-7.674353001633471e-07,,,null_A
2015-10-26 01:41:50.135378688+00:00,2015-11-25 01:41:50.135378688+00:00,95,54,1.1172892816948843,-0.001077986832487409,True,6.642351230919917,1.5620133388725564e-08,,,null_A
2017-05-08 17:50:29.346069696+00:00,2017-06-07 17:50:29.346069696+00:00,53,27,,,False,6.430266502363799,1.157388219277693e-07,,,null_A
2015-09-15 16:46:19.583233984+00:00,2015-10-15 16:46:19.583233984+00:00,88,43,1.0311796091573626,-0.001234572638212263,True,6.620040763586275,-2.3626553120426446e-07,,,null_A
2017-06-08 13:38:00.922287936+00:00,2017-07-08 13:38:00.922287936+00:00,58,36,1.0326685170751044,0.03790838230756987,True,6.460835492462415,3.7259589395539275e-08,,,null_A
2019-05-28 23:41:13.092013184+00:00,2019-06-27 23:41:13.092013184+00:00,102,53,0.8247082601530745,-0.014667848100152706,True,6.96927967677368,4.341643892235543e-07,,,null_A
2011-05-11 10:12:22.975656192+00:00,2011-06-10 10:12:22.975656192+00:00,104,63,0.9576672159574702,0.014099041031033033,True,6.750135103032374,-3.861898943147713e-07,,,null_A
2015-08-19 15:11:44.529437120+00:00,2015-09-18 15:11:44.529437120+00:00,103,55,1.1140949862256913,0.009722185058125546,True,6.731658035905282,8.983337268068163e-07,,,null_A
2001-01-13 22:02:12.491720840+00:00,2001-02-12 22:02:12.491720840+00:00,93,55,0.8340152410851555,0.0016629540478590738,True,6.806319065978545,8.051729090319701e-07,,,null_A
2003-08-08 13:21:06.689601632+00:00,2003-09-07 13:21:06.689601632+00:00,56,32,1.0203688267917819,0.056800503557455605,True,6.476792773662067,1.2470606246306062e-07,,,null_A
2014-03-31 18:18:59.718810368+00:00,2014-04-30 18:18:59.718810368+00:00,65,32,1.2158725652584486,0.01281686895150392,True,6.4371203990341765,1.1520938152234579e-07,,,null_A
2003-06-30 15:30:48.692513680+00:00,2003-07-30 15:30:48.692513680+00:00,56,29,,,False,6.468107633422647,-5.9314804794594536e-08,,,null_A
2019-02-26 00:43:54.728314112+00:00,2019-03-28 00:43:54.728314112+00:00,69,38,1.5351804941696316,0.004022817556571438,True,6.398549628354159,3.2619305443678925e-08,,,null_A
2000-12-06 16:14:58.810471864+00:00,2001-01-05 16:14:58.810471864+00:00,122,72,0.8893402359793553,-0.007859220799761682,True,6.8709561076186985,-1.0611314481265551e-08,,,null_A
2001-02-12 22:06:04.311860228+00:00,2001-03-14 22:06:04.311860228+00:00,80,48,1.039189189000803,-0.0011075956278330124,True,6.615942999620493,-2.0516472046332143e-07,,,null_A
2022-03-21 18:56:20.378670080+00:00,2022-04-20 18:56:20.378670080+00:00,86,45,1.0001664117526274,0.0001744550450973746,True,6.61336214342066,-1.9993252330732114e-07,,,null_A
2022-03-13 17:40:17.969379584+00:00,2022-04-12 17:40:17.969379584+00:00,90,50,0.997919305843867,-0.014537435309494565,True,6.661408573250875,-3.652881510034479e-08,,,null_A
2022-04-06 21:26:05.765801088+00:00,2022-05-06 21:26:05.765801088+00:00,86,38,1.1405107334017657,0.012430369989717862,True,6.522050462731955,2.8525940631880852e-08,,,null_A
2019-03-28 15:45:28.820111104+00:00,2019-04-27 15:45:28.820111104+00:00,73,39,1.0016253574350584,0.02143117223022767,True,6.5642516546633045,1.7750926798804053e-07,,,null_A
2014-12-08 11:07:26.842505344+00:00,2015-01-07 11:07:26.842505344+00:00,130,79,0.9648274485477192,-0.006111305958411087,True,6.846538524238117,5.864904196750423e-07,,,null_A
2019-05-16 17:39:24.959197312+00:00,2019-06-15 17:39:24.959197312+00:00,97,49,0.8682345823443228,0.013275454652016615,True,6.741132823543758,7.707589376217134e-07,,,null_A
2003-08-02 20:27:38.241392480+00:00,2003-09-01 20:27:38.241392480+00:00,56,31,0.970665388536468,,False,6.492240636271367,5.624545817824046e-07,,,null_A
2017-04-20 00:18:43.799176576+00:00,2017-05-20 00:18:43.799176576+00:00,60,39,1.039109496578333,-0.017321414195222935,True,6.49038000418263,-1.771308586353411e-07,,,null_A
2015-10-19 07:21:12.068064448+00:00,2015-11-18 07:21:12.068064448+00:00,92,49,1.186200089925272,0.017785743206738876,True,6.578134377269777,-2.7415448584352e-07,,,null_A
2003-07-01 11:17:01.683145088+00:00,2003-07-31 11:17:01.683145088+00:00,58,31,0.972769432008731,0.004323775101344905,True,6.492351978134792,-2.6772841754818194e-08,,,null_A
2014-11-08 01:29:37.633780224+00:00,2014-12-08 01:29:37.633780224+00:00,199,109,0.9658865237187213,0.009810486481068009,True,7.020519911946737,-1.8049562972494288e-06,,,null_A
2015-02-06 20:01:13.967295744+00:00,2015-03-08 20:01:13.967295744+00:00,87,48,1.0668441725361364,-0.00399004447090936,True,6.658722952034069,-4.0824609151068826e-07,,,null_A
2015-01-11 08:39:43.111256960+00:00,2015-02-10 08:39:43.111256960+00:00,125,67,0.8400037611870065,0.035950176933856284,True,7.081187538142493,6.271076304192282e-08,,,null_A
2011-04-24 07:40:29.706185600+00:00,2011-05-24 07:40:29.706185600+00:00,129,72,0.8803266525065918,0.012154539007606264,True,6.865839658020812,-2.3278634585054304e-07,,,null_A
2014-10-24 10:03:12.311818624+00:00,2014-11-23 10:03:12.311818624+00:00,317,173,0.8448548900175711,-0.0008224396402351618,True,7.286732852474743,-1.372658012231801e-06,,,null_A
