feature,null,macro_auc,ci_lo,ci_hi,perm_z,perm_p,n_above_half,n_below_half,n_regions,sign_p_two_sided,passes_3sigma,passes_bonferroni,per_region_aucs
b,null_A,0.5135309278350515,0.5135309278350515,0.5135309278350515,0.22463461904379114,0.8222635309774702,0,0,1,,False,False,"[0.5135309278350515, nan, nan, nan]"
b,null_B,0.4288194444444444,0.4288194444444444,0.4288194444444444,-1.1693616606139339,0.2422579498353552,0,0,1,,False,False,"[0.4288194444444444, nan, nan, nan]"
b_drift_per_day,null_A,0.4993131868131868,0.4993131868131868,0.4993131868131868,-0.009666686053102383,0.9922872205641684,0,0,1,,False,False,"[0.4993131868131868, nan, nan, nan]"
b_drift_per_day,null_B,0.5500465549348231,0.5500465549348231,0.5500465549348231,0.7831234895049106,0.4335545986041769,0,0,1,,False,False,"[0.5500465549348231, nan, nan, nan]"
benioff_total_log10,null_A,0.39413154672663664,0.2163282608695652,0.5828663793103448,-1.4454688904539796,0.1483262251526125,1,3,4,0.625,False,False,"[0.4414, 0.14130434782608695, 0.325, 0.6688218390804598]"
benioff_total_log10,null_B,0.4789858030781373,0.34633928571428574,0.6116323204419889,-0.28971889216724644,0.7720313020493688,2,2,4,1.0,False,False,"[0.6214, 0.42125, 0.2714285714285714, 0.601864640883978]"
benioff_curv,null_A,0.5435845568680808,0.41449130434782605,0.6813307873090482,0.8160875648634824,0.4144500555622139,2,2,4,1.0,False,False,"[0.3942, 0.43478260869565216, 0.7635135135135135, 0.5818421052631579]"
benioff_curv,null_B,0.5127072368421053,0.4019375,0.613125,0.1731234322917465,0.8625544067410658,2,2,4,1.0,False,False,"[0.333, 0.60875, 0.6175, 0.49157894736842106]"
n_above_mc,null_A,0.4639281835611355,0.2556550343249428,0.6467389758179232,-0.482538200405698,0.6294236683482337,2,2,4,1.0,False,False,"[0.4318, 0.13043478260869565, 0.6621621621621622, 0.6313157894736842]"
n_above_mc,null_B,0.49102763157894735,0.41375,0.5683052631578948,-0.19367423897760597,0.8464309642140999,2,2,4,1.0,False,False,"[0.5974, 0.4375, 0.39, 0.5392105263157895]"
