t_start,t_end,n_events,n_above_mc,b,b_drift_per_day,b_drift_ok,benioff_total_log10,benioff_curv,target_M,target_time,window_kind,region
2000-02-15 15:20:00.910000+00:00,2000-03-16 15:20:00.910000+00:00,55,5,,,False,6.473355394949065,-9.212484409795309e-08,5.58,2000-03-16 15:20:00.910000+00:00,precursor,California
2000-08-04 08:36:30.980000+00:00,2000-09-03 08:36:30.980000+00:00,52,9,,,False,6.5529689102055455,-1.1910716807962003e-07,4.73,2000-09-03 08:36:30.980000+00:00,precursor,California
2001-06-17 12:07:27.480000+00:00,2001-07-17 12:07:27.480000+00:00,57,6,,,False,6.507862199101673,2.517373455389457e-07,4.72,2001-07-17 12:07:27.480000+00:00,precursor,California
2001-11-08 23:36:12.640000+00:00,2001-12-08 23:36:12.640000+00:00,40,2,,,False,6.3713923728195,-2.838082212880124e-07,5.63,2001-12-08 23:36:12.640000+00:00,precursor,California
2003-01-23 12:19:11+00:00,2003-02-22 12:19:11+00:00,50,4,,,False,6.44594516550585,-1.2015950781301337e-07,4.55,2003-02-22 12:19:11+00:00,precursor,California
2003-11-22 19:15:57.840000+00:00,2003-12-22 19:15:57.840000+00:00,50,8,,,False,6.504815267999315,-9.848968864855886e-08,6.5,2003-12-22 19:15:57.840000+00:00,precursor,California
2004-03-20 06:20:15.100000+00:00,2004-04-19 06:20:15.100000+00:00,48,0,,,False,6.327853271382981,-9.012857742064224e-08,4.74,2004-04-19 06:20:15.100000+00:00,precursor,California
2004-08-29 17:15:25.150000+00:00,2004-09-28 17:15:25.150000+00:00,100,19,,,False,7.0307560207883135,2.5804549108789756e-06,5.82,2004-09-28 17:15:25.150000+00:00,precursor,California
2005-03-17 19:18:13.660000+00:00,2005-04-16 19:18:13.660000+00:00,39,3,,,False,6.310443585740028,-1.200500990273643e-07,4.71,2005-04-16 19:18:13.660000+00:00,precursor,California
2006-01-17 17:47:58.720000+00:00,2006-02-16 17:47:58.720000+00:00,88,8,,,False,6.5769477307779205,-4.212130948327522e-08,5.18,2006-02-16 17:47:58.720000+00:00,precursor,California
2006-10-04 15:56:42.810000+00:00,2006-11-03 15:56:42.810000+00:00,40,4,,,False,6.336762764251811,5.1336656211291146e-08,4.77,2006-11-03 15:56:42.810000+00:00,precursor,California
2007-01-27 12:19:59.500000+00:00,2007-02-26 12:19:59.500000+00:00,48,5,,,False,6.448467221387741,-2.567874056216484e-08,4.97,2007-02-26 12:19:59.500000+00:00,precursor,California
2007-08-03 17:29:15.190000+00:00,2007-09-02 17:29:15.190000+00:00,39,3,,,False,6.299834213007132,1.0041482945843417e-07,4.69,2007-09-02 17:29:15.190000+00:00,precursor,California
2008-01-10 07:12:07.800000+00:00,2008-02-09 07:12:07.800000+00:00,47,5,,,False,6.428884250178131,-1.011057104933711e-07,4.7,2008-02-09 07:12:07.800000+00:00,precursor,California
2008-06-29 18:42:15.690000+00:00,2008-07-29 18:42:15.690000+00:00,56,5,,,False,6.433324319417012,-9.581321223891106e-08,5.34,2008-07-29 18:42:15.690000+00:00,precursor,California
