t_start,t_end,n_events,n_above_mc,b,b_drift_per_day,b_drift_ok,benioff_total_log10,benioff_curv,target_M,target_time,window_kind,region,wf_station,wf_n_snapshots,wf_n_successful,wf_spectral_slope,wf_spectral_r2,wf_waveform_entropy,wf_hht_imf1_if_median_hz
2000-06-17 13:50:03.600000+00:00,2000-07-17 13:50:03.600000+00:00,90,6,,,False,6.611713988572083,-1.1980829538885834e-07,4.5,2000-07-17 13:50:03.600000+00:00,precursor,Italy,MN.AQU,6,4,-1.4491630633037074,0.5870711502253464,2.263511866169698,4.281133161882298
2000-12-05 22:20:59.860000+00:00,2001-01-04 22:20:59.860000+00:00,65,4,,,False,6.361996183740678,-2.0563999880860465e-07,4.52,2001-01-04 22:20:59.860000+00:00,precursor,Italy,MN.AQU,6,6,-0.4054691408807924,0.31839893857859725,3.6276499993635,4.642369015916485
2001-04-17 11:43:59.040000+00:00,2001-05-17 11:43:59.040000+00:00,105,4,,,False,6.51215280875079,-2.115469575083888e-07,4.94,2001-05-17 11:43:59.040000+00:00,precursor,Italy,MN.AQU,6,6,-1.2755385820913523,0.5657039797757014,2.9868803900226895,4.6202269443956965
2001-09-18 18:08:31.940000+00:00,2001-10-18 18:08:31.940000+00:00,70,3,,,False,6.2582223886146515,-7.481222440169799e-08,4.72,2001-10-18 18:08:31.940000+00:00,precursor,Italy,MN.AQU,6,6,-0.07214830368798873,0.0372349695631032,3.930681898962028,4.425233672205603
2002-03-18 06:42:56.350000+00:00,2002-04-17 06:42:56.350000+00:00,87,6,,,False,6.505793152828069,3.804644239314425e-07,4.54,2002-04-17 06:42:56.350000+00:00,precursor,Italy,MN.AQU,6,6,-0.8064865174962527,0.4073144943114538,3.3920519137074017,4.632076949266427
2002-08-07 01:21:29.230000+00:00,2002-09-06 01:21:29.230000+00:00,87,1,,,False,6.380617478521012,-9.984929244806585e-08,5.56,2002-09-06 01:21:29.230000+00:00,precursor,Italy,MN.AQU,6,6,-0.4449497683654075,0.21790852754573628,3.7208296408396735,4.573823945804076
2003-01-06 15:27:35.210000+00:00,2003-02-05 15:27:35.210000+00:00,114,8,,,False,6.69496798471082,6.735250748122998e-07,4.5,2003-02-05 15:27:35.210000+00:00,precursor,Italy,MN.AQU,6,6,-2.4669532715835047,0.7613292363385896,1.776857157030875,3.7983710989519786
2003-08-15 21:42:54.280000+00:00,2003-09-14 21:42:54.280000+00:00,89,3,,,False,6.348583633210225,-2.518928809181884e-07,5.1,2003-09-14 21:42:54.280000+00:00,precursor,Italy,MN.AQU,6,6,-0.27488593434875236,0.15294248682511216,3.904010423343559,4.445666765253988
2003-12-22 20:16:32.210000+00:00,2004-01-21 20:16:32.210000+00:00,56,2,,,False,6.170611764530989,-3.141768485787041e-07,4.5,2004-01-21 20:16:32.210000+00:00,precursor,Italy,MN.AQU,6,6,-1.115421824061517,0.4949529344762292,2.9714977088074748,4.55893724942041
2004-04-05 13:39:44.090000+00:00,2004-05-05 13:39:44.090000+00:00,60,3,,,False,6.235424948871087,-5.90518703481127e-08,5.37,2004-05-05 13:39:44.090000+00:00,precursor,Italy,MN.AQU,6,5,-1.4339576250896324,0.49675870818063056,2.6523060546497814,4.461441585969993
2004-10-25 22:59:38.640000+00:00,2004-11-24 22:59:38.640000+00:00,41,3,,,False,6.2325994574657955,-2.2814524681841642e-07,4.54,2004-11-24 22:59:38.640000+00:00,precursor,Italy,MN.AQU,6,4,-0.3411108727390897,0.13699172270983315,3.8099396942127655,4.315632638558634
2005-08-28 00:25:34.950000+00:00,2005-09-27 00:25:34.950000+00:00,60,2,,,False,6.33235310441466,-1.9062335050303807e-07,4.65,2005-09-27 00:25:34.950000+00:00,precursor,Italy,MN.AQU,6,6,-0.5662563300433564,0.3128991623923791,3.6951713978072855,4.3549710423827985
2006-09-26 14:28:37.940000+00:00,2006-10-26 14:28:37.940000+00:00,78,5,,,False,6.540273350759009,-1.1465187047317525e-07,5.75,2006-10-26 14:28:37.940000+00:00,precursor,Italy,MN.AQU,6,6,-1.858524257720361,0.6776865640843952,2.5163009705317836,3.521052205406786
2007-06-04 23:55:35.200000+00:00,2007-07-04 23:55:35.200000+00:00,53,1,,,False,6.264857326119858,-2.1605074010647225e-08,4.84,2007-07-04 23:55:35.200000+00:00,precursor,Italy,MN.AQU,6,6,-0.05871740214528603,0.14717237460172553,3.8791370478311307,4.6230679367614504
