baseline,held_out_region,n_test_pre,n_test_null,auc
A1_n_last5d,California,37,200,0.6424324324324324
A1_n_last5d,Cascadia,36,200,0.7929166666666666
A1_n_last5d,Turkey,30,200,0.57575
A1_n_last5d,Italy,36,200,0.6352083333333334
A2_blog_last5d,California,37,200,0.8114864864864866
A2_blog_last5d,Cascadia,36,200,0.9052777777777778
A2_blog_last5d,Turkey,30,200,0.6906666666666665
A2_blog_last5d,Italy,36,200,0.7104861111111112
B1_n_total,California,37,200,0.48081081081081084
B1_n_total,Cascadia,36,200,0.6296527777777777
B1_n_total,Turkey,30,200,0.571
B1_n_total,Italy,36,200,0.608611111111111
B2_blog_total,California,37,200,0.8114864864864866
B2_blog_total,Cascadia,36,200,0.9052777777777778
B2_blog_total,Turkey,30,200,0.6906666666666665
B2_blog_total,Italy,36,200,0.7104861111111112
C1_n_increment_last,California,37,200,0.6082432432432432
C1_n_increment_last,Cascadia,36,200,0.7693055555555555
C1_n_increment_last,Turkey,30,200,0.5904166666666668
C1_n_increment_last,Italy,36,200,0.6275
C2_blog_increment_last,California,37,200,0.7391216216216216
C2_blog_increment_last,Cascadia,36,200,0.8452777777777777
C2_blog_increment_last,Turkey,30,200,0.6530833333333332
C2_blog_increment_last,Italy,36,200,0.7034722222222223
