control,held_out_region,n_test_pre,n_test_null,auc
MAIN,California,37,200,0.8114864864864866
MAIN,Cascadia,36,200,0.9052777777777778
MAIN,Turkey,30,200,0.6906666666666665
MAIN,Italy,36,200,0.7104861111111112
C1,California,37,200,0.5008108108108108
C1,Cascadia,36,200,0.5352777777777777
C1,Turkey,30,200,0.516
C1,Italy,36,200,0.4988194444444444
C2,California,37,200,0.4897972972972973
C2,Cascadia,36,200,0.5058333333333334
C2,Turkey,30,200,0.537
C2,Italy,36,200,0.46375
C3,California,37,200,0.46270270270270275
C3,Cascadia,36,200,0.5330555555555555
C3,Turkey,30,200,0.5599166666666667
C3,Italy,36,200,0.5636805555555555
