bin_label,region,auc,ci_lo,ci_hi,n_pre,n_null
"M=[4.5,5.0)",California,0.7561904761904763,0.607139303482587,0.8888134362449971,21,200
"M=[4.5,5.0)",Cascadia,0.8858695652173914,0.790234778121775,0.9681155385261757,23,200
"M=[4.5,5.0)",Turkey,0.6594318181818182,0.5034972888362181,0.8052631339398287,22,200
"M=[4.5,5.0)",Italy,0.621,0.4882974192811921,0.7621692263321076,25,200
M>=5.0,California,0.8840625,0.7693110114615394,0.984084950982783,16,200
M>=5.0,Cascadia,0.9396153846153845,0.8568901531649247,0.9965180333977922,13,200
M>=5.0,Turkey,0.7765625,0.5470155369808337,0.9406432549504951,8,200
M>=5.0,Italy,0.9138636363636364,0.7723669760951339,1.0,11,200
"M=[4.5,4.8)",California,0.7085294117647059,0.539905986464234,0.853260920738767,17,200
"M=[4.5,4.8)",Cascadia,0.8702941176470588,0.741724481213848,0.9675998016761563,17,200
"M=[4.5,4.8)",Turkey,0.6501315789473684,0.4945484939482853,0.7983694634811854,19,200
"M=[4.5,4.8)",Italy,0.575,0.4247335802463232,0.7227364867962589,19,200
"M=[4.8,5.2)",California,0.8763888888888888,0.6876395107794361,0.9804925408477385,9,200
"M=[4.8,5.2)",Cascadia,0.9535,0.8839788390603766,0.9953209137617047,10,200
"M=[4.8,5.2)",Turkey,0.7495,0.42480622754393665,0.9800995024875622,5,200
"M=[4.8,5.2)",Italy,0.7683333333333333,0.54058069315596,0.9956791410594088,9,200
M>=5.2,California,0.9175000000000001,0.8127242081620223,0.9951550499927545,11,200
M>=5.2,Cascadia,0.9177777777777777,0.8012733208955224,0.9981676997245178,9,200
M>=5.2,Turkey,0.77,0.48988769026156354,0.9749193568552923,6,200
M>=5.2,Italy,0.9671875000000001,0.8871965541403387,1.0,8,200
